SUBCAT;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS;
V970;;;;Ocupante de uma aeronave traumatizado em outros acidentes de transporte aéreo especificados;V97.0 Ocup aeron traum out acid transp aereo espec;;;
V971;;;;Pessoa traumatizada ao embarcar em ou desembarcar de uma aeronave;V97.1 Pessoa traum embarcar desembarcar aeronave;;;
V972;;;;Paraquedista traumatizado em acidente de transporte aéreo;V97.2 Paraquedista traum acid transp aereo;;;
V973;;;;Pessoa em terra traumatizada em acidente de transporte aéreo;V97.3 Pessoa em terra traum acid transp aereo;;;
V978;;;;Outros acidentes de transporte aéreo não classificados em outra parte;V97.8 Outr acid transp aereo NCOP;;;
V98;;;;Outros acidentes de transporte especificados;V98   Outr acid transp espec;;;
V99;;;;Acidente de transporte não especificado;V99   Acid transp NE;;;
W000;;;;Queda no mesmo nível envolvendo gelo e neve - residência;W00.0 Residencia;;;
W001;;;;Queda no mesmo nível envolvendo gelo e neve - habitação coletiva;W00.1 Habitacao coletiva;;;
W002;;;;Queda no mesmo nível envolvendo gelo e neve - escolas, outras instituições e áreas de administração pública;W00.2 Escolas outr instit areas admin publica;;;
W003;;;;Queda no mesmo nível envolvendo gelo e neve - área para a prática de esportes e atletismo;W00.3 Area p/a pratica de esportes e atletismo;;;
W004;;;;Queda no mesmo nível envolvendo gelo e neve - rua e estrada;W00.4 Rua e estrada;;;
W005;;;;Queda no mesmo nível envolvendo gelo e neve - áreas de comércio e de serviços;W00.5 Areas de comercio e de servicos;;;
W006;;;;Queda no mesmo nível envolvendo gelo e neve - áreas industriais e em construção;W00.6 Areas industriais e em construcao;;;
W007;;;;Queda no mesmo nível envolvendo gelo e neve - fazenda;W00.7 Fazenda;;;
W008;;;;Queda no mesmo nível envolvendo gelo e neve - outros locais especificados;W00.8 Outr locais espec;;;
W009;;;;Queda no mesmo nível envolvendo gelo e neve - local não especificado;W00.9 Local NE;;;
W010;;;;Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés] - residência;W01.0 Residencia;;;
W011;;;;Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés] - habitação coletiva;W01.1 Habitacao coletiva;;;
W012;;;;Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés] - escolas, outras instituições e áreas de administração pública;W01.2 Escolas outr instit areas admin publica;;;
W013;;;;Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés] - área para a prática de esportes e atletismo;W01.3 Area p/a pratica de esportes e atletismo;;;
W014;;;;Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés] - rua e estrada;W01.4 Rua e estrada;;;
W015;;;;Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés] - áreas de comércio e de serviços;W01.5 Areas de comercio e de servicos;;;
W016;;;;Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés] - áreas industriais e em construção;W01.6 Areas industriais e em construcao;;;
W017;;;;Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés] - fazenda;W01.7 Fazenda;;;
W018;;;;Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés] - outros locais especificados;W01.8 Outr locais espec;;;
W019;;;;Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés] - local não especificado;W01.9 Local NE;;;
W020;;;;Queda envolvendo patins de rodas ou para gelo, esqui ou pranchas de rodas - residência;W02.0 Residencia;;;
W021;;;;Queda envolvendo patins de rodas ou para gelo, esqui ou pranchas de rodas - habitação coletiva;W02.1 Habitacao coletiva;;;
W022;;;;Queda envolvendo patins de rodas ou para gelo, esqui ou pranchas de rodas - escolas, outras instituições e áreas de administração pública;W02.2 Escolas outr instit areas admin publica;;;
W023;;;;Queda envolvendo patins de rodas ou para gelo, esqui ou pranchas de rodas - área para a prática de esportes e atletismo;W02.3 Area p/a pratica de esportes e atletismo;;;
W024;;;;Queda envolvendo patins de rodas ou para gelo, esqui ou pranchas de rodas - rua e estrada;W02.4 Rua e estrada;;;
W025;;;;Queda envolvendo patins de rodas ou para gelo, esqui ou pranchas de rodas - áreas de comércio e de serviços;W02.5 Areas de comercio e de servicos;;;
W026;;;;Queda envolvendo patins de rodas ou para gelo, esqui ou pranchas de rodas - áreas industriais e em construção;W02.6 Areas industriais e em construcao;;;
W027;;;;Queda envolvendo patins de rodas ou para gelo, esqui ou pranchas de rodas - fazenda;W02.7 Fazenda;;;
W028;;;;Queda envolvendo patins de rodas ou para gelo, esqui ou pranchas de rodas - outros locais especificados;W02.8 Outr locais espec;;;
W029;;;;Queda envolvendo patins de rodas ou para gelo, esqui ou pranchas de rodas - local não especificado;W02.9 Local NE;;;
W030;;;;Outras quedas no mesmo nível por colisão com ou empurrão por outra pessoa - residência;W03.0 Residencia;;;
W031;;;;Outras quedas no mesmo nível por colisão com ou empurrão por outra pessoa - habitação coletiva;W03.1 Habitacao coletiva;;;
W032;;;;Outras quedas no mesmo nível por colisão com ou empurrão por outra pessoa - escolas, outras instituições e áreas de administração pública;W03.2 Escolas outr instit areas admin publica;;;
W033;;;;Outras quedas no mesmo nível por colisão com ou empurrão por outra pessoa - área para a prática de esportes e atletismo;W03.3 Area p/a pratica de esportes e atletismo;;;
W034;;;;Outras quedas no mesmo nível por colisão com ou empurrão por outra pessoa - rua e estrada;W03.4 Rua e estrada;;;
W035;;;;Outras quedas no mesmo nível por colisão com ou empurrão por outra pessoa - áreas de comércio e de serviços;W03.5 Areas de comercio e de servicos;;;
W036;;;;Outras quedas no mesmo nível por colisão com ou empurrão por outra pessoa - áreas industriais e em construção;W03.6 Areas industriais e em construcao;;;
W037;;;;Outras quedas no mesmo nível por colisão com ou empurrão por outra pessoa - fazenda;W03.7 Fazenda;;;
W038;;;;Outras quedas no mesmo nível por colisão com ou empurrão por outra pessoa - outros locais especificados;W03.8 Outr locais espec;;;
W039;;;;Outras quedas no mesmo nível por colisão com ou empurrão por outra pessoa - local não especificado;W03.9 Local NE;;;
W040;;;;Queda, enquanto estava sendo carregado ou apoiado por outra(s) pessoa(s) - residência;W04.0 Residencia;;;
W041;;;;Queda, enquanto estava sendo carregado ou apoiado por outra(s) pessoa(s) - habitação coletiva;W04.1 Habitacao coletiva;;;
W042;;;;Queda, enquanto estava sendo carregado ou apoiado por outra(s) pessoa(s) - escolas, outras instituições e áreas de administração pública;W04.2 Escolas outr instit areas admin publica;;;
W043;;;;Queda, enquanto estava sendo carregado ou apoiado por outra(s) pessoa(s) - área para a prática de esportes e atletismo;W04.3 Area p/a pratica de esportes e atletismo;;;
W044;;;;Queda, enquanto estava sendo carregado ou apoiado por outra(s) pessoa(s) - rua e estrada;W04.4 Rua e estrada;;;
W045;;;;Queda, enquanto estava sendo carregado ou apoiado por outra(s) pessoa(s) - áreas de comércio e de serviços;W04.5 Areas de comercio e de servicos;;;
W046;;;;Queda, enquanto estava sendo carregado ou apoiado por outra(s) pessoa(s) - áreas industriais e em construção;W04.6 Areas industriais e em construcao;;;
W047;;;;Queda, enquanto estava sendo carregado ou apoiado por outra(s) pessoa(s) - fazenda;W04.7 Fazenda;;;
W048;;;;Queda, enquanto estava sendo carregado ou apoiado por outra(s) pessoa(s) - outros locais especificados;W04.8 Outr locais espec;;;
W049;;;;Queda, enquanto estava sendo carregado ou apoiado por outra(s) pessoa(s) - local não especificado;W04.9 Local NE;;;
W050;;;;Queda envolvendo uma cadeira de rodas - residência;W05.0 Residencia;;;
W051;;;;Queda envolvendo uma cadeira de rodas - habitação coletiva;W05.1 Habitacao coletiva;;;
W052;;;;Queda envolvendo uma cadeira de rodas - escolas, outras instituições e áreas de administração pública;W05.2 Escolas outr instit areas admin publica;;;
W053;;;;Queda envolvendo uma cadeira de rodas - área para a prática de esportes e atletismo;W05.3 Area p/a pratica de esportes e atletismo;;;
W054;;;;Queda envolvendo uma cadeira de rodas - rua e estrada;W05.4 Rua e estrada;;;
W055;;;;Queda envolvendo uma cadeira de rodas - áreas de comércio e de serviços;W05.5 Areas de comercio e de servicos;;;
W056;;;;Queda envolvendo uma cadeira de rodas - áreas industriais e em construção;W05.6 Areas industriais e em construcao;;;
W057;;;;Queda envolvendo uma cadeira de rodas - fazenda;W05.7 Fazenda;;;
W058;;;;Queda envolvendo uma cadeira de rodas - outros locais especificados;W05.8 Outr locais espec;;;
W059;;;;Queda envolvendo uma cadeira de rodas - local não especificado;W05.9 Local NE;;;
W060;;;;Queda de um leito - residência;W06.0 Residencia;;;
W061;;;;Queda de um leito - habitação coletiva;W06.1 Habitacao coletiva;;;
W062;;;;Queda de um leito - escolas, outras instituições e áreas de administração pública;W06.2 Escolas outr instit areas admin publica;;;
W063;;;;Queda de um leito - área para a prática de esportes e atletismo;W06.3 Area p/a pratica de esportes e atletismo;;;
W064;;;;Queda de um leito - rua e estrada;W06.4 Rua e estrada;;;
W065;;;;Queda de um leito - áreas de comércio e de serviços;W06.5 Areas de comercio e de servicos;;;
W066;;;;Queda de um leito - áreas industriais e em construção;W06.6 Areas industriais e em construcao;;;
W067;;;;Queda de um leito - fazenda;W06.7 Fazenda;;;
W068;;;;Queda de um leito - outros locais especificados;W06.8 Outr locais espec;;;
W069;;;;Queda de um leito - local não especificado;W06.9 Local NE;;;
W070;;;;Queda de uma cadeira - residência;W07.0 Residencia;;;
W071;;;;Queda de uma cadeira - habitação coletiva;W07.1 Habitacao coletiva;;;
W072;;;;Queda de uma cadeira - escolas, outras instituições e áreas de administração pública;W07.2 Escolas outr instit areas admin publica;;;
W073;;;;Queda de uma cadeira - área para a prática de esportes e atletismo;W07.3 Area p/a pratica de esportes e atletismo;;;
W074;;;;Queda de uma cadeira - rua e estrada;W07.4 Rua e estrada;;;
W075;;;;Queda de uma cadeira - áreas de comércio e de serviços;W07.5 Areas de comercio e de servicos;;;
W076;;;;Queda de uma cadeira - áreas industriais e em construção;W07.6 Areas industriais e em construcao;;;
W077;;;;Queda de uma cadeira - fazenda;W07.7 Fazenda;;;
W078;;;;Queda de uma cadeira - outros locais especificados;W07.8 Outr locais espec;;;
W079;;;;Queda de uma cadeira - local não especificado;W07.9 Local NE;;;
W080;;;;Queda de outro tipo de mobília - residência;W08.0 Residencia;;;
W081;;;;Queda de outro tipo de mobília - habitação coletiva;W08.1 Habitacao coletiva;;;
W082;;;;Queda de outro tipo de mobília - escolas, outras instituições e áreas de administração pública;W08.2 Escolas outr instit areas admin publica;;;
W083;;;;Queda de outro tipo de mobília - área para a prática de esportes e atletismo;W08.3 Area p/a pratica de esportes e atletismo;;;
W084;;;;Queda de outro tipo de mobília - rua e estrada;W08.4 Rua e estrada;;;
W085;;;;Queda de outro tipo de mobília - áreas de comércio e de serviços;W08.5 Areas de comercio e de servicos;;;
W086;;;;Queda de outro tipo de mobília - áreas industriais e em construção;W08.6 Areas industriais e em construcao;;;
W087;;;;Queda de outro tipo de mobília - fazenda;W08.7 Fazenda;;;
W088;;;;Queda de outro tipo de mobília - outros locais especificados;W08.8 Outr locais espec;;;
W089;;;;Queda de outro tipo de mobília - local não especificado;W08.9 Local NE;;;
W090;;;;Queda envolvendo equipamento de "playground" - residência;W09.0 Residencia;;;
W091;;;;Queda envolvendo equipamento de "playground" - habitação coletiva;W09.1 Habitacao coletiva;;;
W092;;;;Queda envolvendo equipamento de "playground" - escolas, outras instituições e áreas de administração pública;W09.2 Escolas outr instit areas admin publica;;;
W093;;;;Queda envolvendo equipamento de "playground" - área para a prática de esportes e atletismo;W09.3 Area p/a pratica de esportes e atletismo;;;
W094;;;;Queda envolvendo equipamento de "playground" - rua e estrada;W09.4 Rua e estrada;;;
W095;;;;Queda envolvendo equipamento de "playground" - áreas de comércio e de serviços;W09.5 Areas de comercio e de servicos;;;
W096;;;;Queda envolvendo equipamento de "playground" - áreas industriais e em construção;W09.6 Areas industriais e em construcao;;;
W097;;;;Queda envolvendo equipamento de "playground" - fazenda;W09.7 Fazenda;;;
W098;;;;Queda envolvendo equipamento de "playground" - outros locais especificados;W09.8 Outr locais espec;;;
W099;;;;Queda envolvendo equipamento de "playground" - local não especificado;W09.9 Local NE;;;
W100;;;;Queda em ou de escadas ou degraus - residência;W10.0 Residencia;;;
W101;;;;Queda em ou de escadas ou degraus - habitação coletiva;W10.1 Habitacao coletiva;;;
W102;;;;Queda em ou de escadas ou degraus - escolas, outras instituições e áreas de administração pública;W10.2 Escolas outr instit areas admin publica;;;
W103;;;;Queda em ou de escadas ou degraus - área para a prática de esportes e atletismo;W10.3 Area p/a pratica de esportes e atletismo;;;
W104;;;;Queda em ou de escadas ou degraus - rua e estrada;W10.4 Rua e estrada;;;
W105;;;;Queda em ou de escadas ou degraus - áreas de comércio e de serviços;W10.5 Areas de comercio e de servicos;;;
W106;;;;Queda em ou de escadas ou degraus - áreas industriais e em construção;W10.6 Areas industriais e em construcao;;;
W107;;;;Queda em ou de escadas ou degraus - fazenda;W10.7 Fazenda;;;
W108;;;;Queda em ou de escadas ou degraus - outros locais especificados;W10.8 Outr locais espec;;;
W109;;;;Queda em ou de escadas ou degraus - local não especificado;W10.9 Local NE;;;
W110;;;;Queda em ou de escadas de mão - residência;W11.0 Residencia;;;
W111;;;;Queda em ou de escadas de mão - habitação coletiva;W11.1 Habitacao coletiva;;;
W112;;;;Queda em ou de escadas de mão - escolas, outras instituições e áreas de administração pública;W11.2 Escolas outr instit areas admin publica;;;
W113;;;;Queda em ou de escadas de mão - área para a prática de esportes e atletismo;W11.3 Area p/a pratica de esportes e atletismo;;;
W114;;;;Queda em ou de escadas de mão - rua e estrada;W11.4 Rua e estrada;;;
W115;;;;Queda em ou de escadas de mão - áreas de comércio e de serviços;W11.5 Areas de comercio e de servicos;;;
W116;;;;Queda em ou de escadas de mão - áreas industriais e em construção;W11.6 Areas industriais e em construcao;;;
W117;;;;Queda em ou de escadas de mão - fazenda;W11.7 Fazenda;;;
W118;;;;Queda em ou de escadas de mão - outros locais especificados;W11.8 Outr locais espec;;;
W119;;;;Queda em ou de escadas de mão - local não especificado;W11.9 Local NE;;;
W120;;;;Queda em ou de um andaime - residência;W12.0 Residencia;;;
W121;;;;Queda em ou de um andaime - habitação coletiva;W12.1 Habitacao coletiva;;;
W122;;;;Queda em ou de um andaime - escolas, outras instituições e áreas de administração pública;W12.2 Escolas outr instit areas admin publica;;;
W123;;;;Queda em ou de um andaime - área para a prática de esportes e atletismo;W12.3 Area p/a pratica de esportes e atletismo;;;
W124;;;;Queda em ou de um andaime - rua e estrada;W12.4 Rua e estrada;;;
W125;;;;Queda em ou de um andaime - áreas de comércio e de serviços;W12.5 Areas de comercio e de servicos;;;
W126;;;;Queda em ou de um andaime - áreas industriais e em construção;W12.6 Areas industriais e em construcao;;;
W127;;;;Queda em ou de um andaime - fazenda;W12.7 Fazenda;;;
W128;;;;Queda em ou de um andaime - outros locais especificados;W12.8 Outr locais espec;;;
W129;;;;Queda em ou de um andaime - local não especificado;W12.9 Local NE;;;
W130;;;;Queda de ou para fora de edifícios ou outras estruturas - residência;W13.0 Residencia;;;
W131;;;;Queda de ou para fora de edifícios ou outras estruturas - habitação coletiva;W13.1 Habitacao coletiva;;;
W132;;;;Queda de ou para fora de edifícios ou outras estruturas - escolas, outras instituições e áreas de administração pública;W13.2 Escolas outr instit areas admin publica;;;
W133;;;;Queda de ou para fora de edifícios ou outras estruturas - área para a prática de esportes e atletismo;W13.3 Area p/a pratica de esportes e atletismo;;;
W134;;;;Queda de ou para fora de edifícios ou outras estruturas - rua e estrada;W13.4 Rua e estrada;;;
W135;;;;Queda de ou para fora de edifícios ou outras estruturas - áreas de comércio e de serviços;W13.5 Areas de comercio e de servicos;;;
W136;;;;Queda de ou para fora de edifícios ou outras estruturas - áreas industriais e em construção;W13.6 Areas industriais e em construcao;;;
W137;;;;Queda de ou para fora de edifícios ou outras estruturas - fazenda;W13.7 Fazenda;;;
W138;;;;Queda de ou para fora de edifícios ou outras estruturas - outros locais especificados;W13.8 Outr locais espec;;;
W139;;;;Queda de ou para fora de edifícios ou outras estruturas - local não especificado;W13.9 Local NE;;;
W140;;;;Queda de árvore - residência;W14.0 Residencia;;;
W141;;;;Queda de árvore - habitação coletiva;W14.1 Habitacao coletiva;;;
W142;;;;Queda de árvore - escolas, outras instituições e áreas de administração pública;W14.2 Escolas outr instit areas admin publica;;;
W143;;;;Queda de árvore - área para a prática de esportes e atletismo;W14.3 Area p/a pratica de esportes e atletismo;;;
W144;;;;Queda de árvore - rua e estrada;W14.4 Rua e estrada;;;
W145;;;;Queda de árvore - áreas de comércio e de serviços;W14.5 Areas de comercio e de servicos;;;
W146;;;;Queda de árvore - áreas industriais e em construção;W14.6 Areas industriais e em construcao;;;
W147;;;;Queda de árvore - fazenda;W14.7 Fazenda;;;
W148;;;;Queda de árvore - outros locais especificados;W14.8 Outr locais espec;;;
W149;;;;Queda de árvore - local não especificado;W14.9 Local NE;;;
W150;;;;Queda de penhasco - residência;W15.0 Residencia;;;
W151;;;;Queda de penhasco - habitação coletiva;W15.1 Habitacao coletiva;;;
W152;;;;Queda de penhasco - escolas, outras instituições e áreas de administração pública;W15.2 Escolas outr instit areas admin publica;;;
W153;;;;Queda de penhasco - área para a prática de esportes e atletismo;W15.3 Area p/a pratica de esportes e atletismo;;;
W154;;;;Queda de penhasco - rua e estrada;W15.4 Rua e estrada;;;
W155;;;;Queda de penhasco - áreas de comércio e de serviços;W15.5 Areas de comercio e de servicos;;;
W156;;;;Queda de penhasco - áreas industriais e em construção;W15.6 Areas industriais e em construcao;;;
W157;;;;Queda de penhasco - fazenda;W15.7 Fazenda;;;
W158;;;;Queda de penhasco - outros locais especificados;W15.8 Outr locais espec;;;
W159;;;;Queda de penhasco - local não especificado;W15.9 Local NE;;;
W160;;;;Mergulho ou pulo na água causando outro traumatismo que não afogamento ou submersão - residência;W16.0 Residencia;;;
W161;;;;Mergulho ou pulo na água causando outro traumatismo que não afogamento ou submersão - habitação coletiva;W16.1 Habitacao coletiva;;;
W162;;;;Mergulho ou pulo na água causando outro traumatismo que não afogamento ou submersão - escolas, outras instituições e áreas de administração pública;W16.2 Escolas outr instit areas admin publica;;;
W163;;;;Mergulho ou pulo na água causando outro traumatismo que não afogamento ou submersão - área para a prática de esportes e atletismo;W16.3 Area p/a pratica de esportes e atletismo;;;
W164;;;;Mergulho ou pulo na água causando outro traumatismo que não afogamento ou submersão - rua e estrada;W16.4 Rua e estrada;;;
W165;;;;Mergulho ou pulo na água causando outro traumatismo que não afogamento ou submersão - áreas de comércio e de serviços;W16.5 Areas de comercio e de servicos;;;
W166;;;;Mergulho ou pulo na água causando outro traumatismo que não afogamento ou submersão - áreas industriais e em construção;W16.6 Areas industriais e em construcao;;;
W167;;;;Mergulho ou pulo na água causando outro traumatismo que não afogamento ou submersão - fazenda;W16.7 Fazenda;;;
W168;;;;Mergulho ou pulo na água causando outro traumatismo que não afogamento ou submersão - outros locais especificados;W16.8 Outr locais espec;;;
W169;;;;Mergulho ou pulo na água causando outro traumatismo que não afogamento ou submersão - local não especificado;W16.9 Local NE;;;
W170;;;;Outras quedas de um nível a outro - residência;W17.0 Residencia;;;
W171;;;;Outras quedas de um nível a outro - habitação coletiva;W17.1 Habitacao coletiva;;;
W172;;;;Outras quedas de um nível a outro - escolas, outras instituições e áreas de administração pública;W17.2 Escolas outr instit areas admin publica;;;
W173;;;;Outras quedas de um nível a outro - área para a prática de esportes e atletismo;W17.3 Area p/a pratica de esportes e atletismo;;;
W174;;;;Outras quedas de um nível a outro - rua e estrada;W17.4 Rua e estrada;;;
W175;;;;Outras quedas de um nível a outro - áreas de comércio e de serviços;W17.5 Areas de comercio e de servicos;;;
W176;;;;Outras quedas de um nível a outro - áreas industriais e em construção;W17.6 Areas industriais e em construcao;;;
W177;;;;Outras quedas de um nível a outro - fazenda;W17.7 Fazenda;;;
W178;;;;Outras quedas de um nível a outro - outros locais especificados;W17.8 Outr locais espec;;;
W179;;;;Outras quedas de um nível a outro - local não especificado;W17.9 Local NE;;;
W180;;;;Outras quedas no mesmo nível - residência;W18.0 Residencia;;;
W181;;;;Outras quedas no mesmo nível - habitação coletiva;W18.1 Habitacao coletiva;;;
W182;;;;Outras quedas no mesmo nível - escolas, outras instituições e áreas de administração pública;W18.2 Escolas outr instit areas admin publica;;;
W183;;;;Outras quedas no mesmo nível - área para a prática de esportes e atletismo;W18.3 Area p/a pratica de esportes e atletismo;;;
W184;;;;Outras quedas no mesmo nível - rua e estrada;W18.4 Rua e estrada;;;
W185;;;;Outras quedas no mesmo nível - áreas de comércio e de serviços;W18.5 Areas de comercio e de servicos;;;
W186;;;;Outras quedas no mesmo nível - áreas industriais e em construção;W18.6 Areas industriais e em construcao;;;
W187;;;;Outras quedas no mesmo nível - fazenda;W18.7 Fazenda;;;
W188;;;;Outras quedas no mesmo nível - outros locais especificados;W18.8 Outr locais espec;;;
W189;;;;Outras quedas no mesmo nível - local não especificado;W18.9 Local NE;;;
W190;;;;Queda sem especificação - residência;W19.0 Residencia;;;
W191;;;;Queda sem especificação - habitação coletiva;W19.1 Habitacao coletiva;;;
W192;;;;Queda sem especificação - escolas, outras instituições e áreas de administração pública;W19.2 Escolas outr instit areas admin publica;;;
W193;;;;Queda sem especificação - área para a prática de esportes e atletismo;W19.3 Area p/a pratica de esportes e atletismo;;;
W194;;;;Queda sem especificação - rua e estrada;W19.4 Rua e estrada;;;
W195;;;;Queda sem especificação - áreas de comércio e de serviços;W19.5 Areas de comercio e de servicos;;;
W196;;;;Queda sem especificação - áreas industriais e em construção;W19.6 Areas industriais e em construcao;;;
W197;;;;Queda sem especificação - fazenda;W19.7 Fazenda;;;
W198;;;;Queda sem especificação - outros locais especificados;W19.8 Outr locais espec;;;
W199;;;;Queda sem especificação - local não especificado;W19.9 Local NE;;;
W200;;;;Impacto causado por objeto lançado, projetado ou em queda - residência;W20.0 Residencia;;;
W201;;;;Impacto causado por objeto lançado, projetado ou em queda - habitação coletiva;W20.1 Habitacao coletiva;;;
W202;;;;Impacto causado por objeto lançado, projetado ou em queda - escolas, outras instituições e áreas de administração pública;W20.2 Escolas outr instit areas admin publica;;;
W203;;;;Impacto causado por objeto lançado, projetado ou em queda - área para a prática de esportes e atletismo;W20.3 Area p/a pratica de esportes e atletismo;;;
W204;;;;Impacto causado por objeto lançado, projetado ou em queda - rua e estrada;W20.4 Rua e estrada;;;
W205;;;;Impacto causado por objeto lançado, projetado ou em queda - áreas de comércio e de serviços;W20.5 Areas de comercio e de servicos;;;
W206;;;;Impacto causado por objeto lançado, projetado ou em queda - áreas industriais e em construção;W20.6 Areas industriais e em construcao;;;
W207;;;;Impacto causado por objeto lançado, projetado ou em queda - fazenda;W20.7 Fazenda;;;
W208;;;;Impacto causado por objeto lançado, projetado ou em queda - outros locais especificados;W20.8 Outr locais espec;;;
W209;;;;Impacto causado por objeto lançado, projetado ou em queda - local não especificado;W20.9 Local NE;;;
W210;;;;Impacto acidental ativo ou passivo causado por equipamento esportivo - residência;W21.0 Residencia;;;
W211;;;;Impacto acidental ativo ou passivo causado por equipamento esportivo - habitação coletiva;W21.1 Habitacao coletiva;;;
W212;;;;Impacto acidental ativo ou passivo causado por equipamento esportivo - escolas, outras instituições e áreas de administração pública;W21.2 Escolas outr instit areas admin publica;;;
W213;;;;Impacto acidental ativo ou passivo causado por equipamento esportivo - área para a prática de esportes e atletismo;W21.3 Area p/a pratica de esportes e atletismo;;;
W214;;;;Impacto acidental ativo ou passivo causado por equipamento esportivo - rua e estrada;W21.4 Rua e estrada;;;
W215;;;;Impacto acidental ativo ou passivo causado por equipamento esportivo - áreas de comércio e de serviços;W21.5 Areas de comercio e de servicos;;;
W216;;;;Impacto acidental ativo ou passivo causado por equipamento esportivo - áreas industriais e em construção;W21.6 Areas industriais e em construcao;;;
W217;;;;Impacto acidental ativo ou passivo causado por equipamento esportivo - fazenda;W21.7 Fazenda;;;
W218;;;;Impacto acidental ativo ou passivo causado por equipamento esportivo - outros locais especificados;W21.8 Outr locais espec;;;
W219;;;;Impacto acidental ativo ou passivo causado por equipamento esportivo - local não especificado;W21.9 Local NE;;;
W220;;;;Impacto acidental ativo ou passivo causado por outros objetos - residência;W22.0 Residencia;;;
W221;;;;Impacto acidental ativo ou passivo causado por outros objetos - habitação coletiva;W22.1 Habitacao coletiva;;;
W222;;;;Impacto acidental ativo ou passivo causado por outros objetos - escolas, outras instituições e áreas de administração pública;W22.2 Escolas outr instit areas admin publica;;;
W223;;;;Impacto acidental ativo ou passivo causado por outros objetos - área para a prática de esportes e atletismo;W22.3 Area p/a pratica de esportes e atletismo;;;
W224;;;;Impacto acidental ativo ou passivo causado por outros objetos - rua e estrada;W22.4 Rua e estrada;;;
W225;;;;Impacto acidental ativo ou passivo causado por outros objetos - áreas de comércio e de serviços;W22.5 Areas de comercio e de servicos;;;
W226;;;;Impacto acidental ativo ou passivo causado por outros objetos - áreas industriais e em construção;W22.6 Areas industriais e em construcao;;;
W227;;;;Impacto acidental ativo ou passivo causado por outros objetos - fazenda;W22.7 Fazenda;;;
W228;;;;Impacto acidental ativo ou passivo causado por outros objetos - outros locais especificados;W22.8 Outr locais espec;;;
W229;;;;Impacto acidental ativo ou passivo causado por outros objetos - local não especificado;W22.9 Local NE;;;
W230;;;;Apertado, colhido, comprimido ou esmagado dentro de ou entre objetos - residência;W23.0 Residencia;;;
W231;;;;Apertado, colhido, comprimido ou esmagado dentro de ou entre objetos - habitação coletiva;W23.1 Habitacao coletiva;;;
W232;;;;Apertado, colhido, comprimido ou esmagado dentro de ou entre objetos - escolas, outras instituições e áreas de administração pública;W23.2 Escolas outr instit areas admin publica;;;
W233;;;;Apertado, colhido, comprimido ou esmagado dentro de ou entre objetos - área para a prática de esportes e atletismo;W23.3 Area p/a pratica de esportes e atletismo;;;
W234;;;;Apertado, colhido, comprimido ou esmagado dentro de ou entre objetos - rua e estrada;W23.4 Rua e estrada;;;
W235;;;;Apertado, colhido, comprimido ou esmagado dentro de ou entre objetos - áreas de comércio e de serviços;W23.5 Areas de comercio e de servicos;;;
W236;;;;Apertado, colhido, comprimido ou esmagado dentro de ou entre objetos - áreas industriais e em construção;W23.6 Areas industriais e em construcao;;;
W237;;;;Apertado, colhido, comprimido ou esmagado dentro de ou entre objetos - fazenda;W23.7 Fazenda;;;
W238;;;;Apertado, colhido, comprimido ou esmagado dentro de ou entre objetos - outros locais especificados;W23.8 Outr locais espec;;;
W239;;;;Apertado, colhido, comprimido ou esmagado dentro de ou entre objetos - local não especificado;W23.9 Local NE;;;
W240;;;;Contato com elevadores e instrumentos de transmissão, não classificados em outra parte - residência;W24.0 Residencia;;;
W241;;;;Contato com elevadores e instrumentos de transmissão, não classificados em outra parte - habitação coletiva;W24.1 Habitacao coletiva;;;
W242;;;;Contato com elevadores e instrumentos de transmissão, não classificados em outra parte - escolas, outras instituições e áreas de administração pública;W24.2 Escolas outr instit areas admin publica;;;
W243;;;;Contato com elevadores e instrumentos de transmissão, não classificados em outra parte - área para a prática de esportes e atletismo;W24.3 Area p/a pratica de esportes e atletismo;;;
W244;;;;Contato com elevadores e instrumentos de transmissão, não classificados em outra parte - rua e estrada;W24.4 Rua e estrada;;;
W245;;;;Contato com elevadores e instrumentos de transmissão, não classificados em outra parte - áreas de comércio e de serviços;W24.5 Areas de comercio e de servicos;;;
W246;;;;Contato com elevadores e instrumentos de transmissão, não classificados em outra parte - áreas industriais e em construção;W24.6 Areas industriais e em construcao;;;
W247;;;;Contato com elevadores e instrumentos de transmissão, não classificados em outra parte - fazenda;W24.7 Fazenda;;;
W248;;;;Contato com elevadores e instrumentos de transmissão, não classificados em outra parte - outros locais especificados;W24.8 Outr locais espec;;;
W249;;;;Contato com elevadores e instrumentos de transmissão, não classificados em outra parte - local não especificado;W24.9 Local NE;;;
